vector_type,algorithm,size,time_ms,stress,ram_mb,energy_j
endnoise,HeapSort,10000,2.36484,None,0,0
ordered,HeapSort,10000,2.398,None,0,0
random_swaps,HeapSort,10000,3.24308,None,0,0
random,HeapSort,10000,3.11638,None,0,0
repeated_1_5,HeapSort,10000,1.8613,None,0,0
repeated,HeapSort,10000,0.288634,None,0,0
reversed,HeapSort,10000,3.00601,None,0,0
zigzag,HeapSort,10000,2.2886,None,0,0
endnoise,MergeSort,10000,2.89419,None,0,0
ordered,MergeSort,10000,4.37591,None,0,0
random_swaps,MergeSort,10000,2.81026,None,0,0
random,MergeSort,10000,5.34602,None,0,0
repeated_1_5,MergeSort,10000,3.06121,None,0,0
repeated,MergeSort,10000,4.26978,None,0,0
reversed,MergeSort,10000,3.02098,None,0,0
zigzag,MergeSort,10000,3.82715,None,0,0
endnoise,QuickSort,10000,7.67408,None,0,0
ordered,QuickSort,10000,8.60436,None,0,0
random_swaps,QuickSort,10000,2.76346,None,0,0
random,QuickSort,10000,2.56241,None,0,0
repeated_1_5,QuickSort,10000,0.290499,None,0,0
repeated,QuickSort,10000,0.035809,None,0,0
reversed,QuickSort,10000,6.82033,None,0,0
zigzag,QuickSort,10000,2.02621,None,0,0
