vector_type,algorithm,size,time_ms,stress,ram_mb,energy_j
endnoise,HeapSort,100000,36.0492,None,0,0
ordered,HeapSort,100000,38.062,None,0,0
random_swaps,HeapSort,100000,31.8175,None,0,0
random,HeapSort,100000,33.7728,None,0,0
repeated_1_5,HeapSort,100000,24.3568,None,0,0
repeated,HeapSort,100000,1.81218,None,0,0
reversed,HeapSort,100000,30.3206,None,0,0
zigzag,HeapSort,100000,33.5601,None,0,0
endnoise,MergeSort,100000,33.0459,None,0,0
ordered,MergeSort,100000,33.2922,None,0,0
random_swaps,MergeSort,100000,34.2207,None,0,0
random,MergeSort,100000,41.838,None,0,0
repeated_1_5,MergeSort,100000,35.731,None,0,0
repeated,MergeSort,100000,32.8066,None,0,0
reversed,MergeSort,100000,30.9279,None,0,0
zigzag,MergeSort,100000,33.0455,None,0,0
endnoise,QuickSort,100000,186.415,None,0,0
ordered,QuickSort,100000,179.571,None,0,0
random_swaps,QuickSort,100000,26.309,None,0,0
random,QuickSort,100000,26.4919,None,0,0
repeated_1_5,QuickSort,100000,2.71647,None,0,0
repeated,QuickSort,100000,0.387354,None,0,0
reversed,QuickSort,100000,131.308,None,0,0
zigzag,QuickSort,100000,28.2225,None,0,0
