vector_type,algorithm,size,time_ms,stress,ram_kb_max,ram_kb_media,energy_j,comparisons,swaps
random,HeapSort,100000000,53506.7,ram,31372200,30710338,-1,5012871951,2571577939
random,HeapSort,100000000,94179.7,both,31371196,30649758,-1,5012871951,2571577939
random_swaps,HeapSort,100000000,7778.72,none,394480,394299,-1,5116272301,2648852402
random_swaps,HeapSort,100000000,12604.2,cpu,394600,394455,-1,5116272301,2648852402
random_swaps,HeapSort,100000000,17628.3,ram,31246568,29526963,-1,5116272301,2648852402
random_swaps,HeapSort,100000000,44024.7,both,31346784,30180090,-1,5116272301,2648852402
repeated_1_5,HeapSort,100000000,6739.31,none,394536,394355,-1,4021814368,2028013247
repeated_1_5,HeapSort,100000000,8928.89,cpu,394660,394519,-1,4021814368,2028013247
repeated_1_5,HeapSort,100000000,13725.1,ram,31222652,29026358,-1,4021814368,2028013247
repeated_1_5,HeapSort,100000000,45975.6,both,31357184,30337258,-1,4021814368,2028013247
repeated,HeapSort,100000000,404.89,none,394524,394342,-1,299999994,99999999
repeated,HeapSort,100000000,832.168,cpu,394628,394483,-1,299999994,99999999
repeated,HeapSort,100000000,766.237,ram,31254256,8383633,-1,299999994,99999999
repeated,HeapSort,100000000,1468.35,both,29170864,8385839,-1,299999994,99999999
reversed,HeapSort,100000000,8475.86,none,394420,394299,-1,4924144478,2500251420
reversed,HeapSort,100000000,11566,cpu,394552,394467,-1,4924144478,2500251420
reversed,HeapSort,100000000,16076.6,ram,31280196,29583006,-1,4924144478,2500251420
reversed,HeapSort,100000000,39772.1,both,31375540,30213437,-1,4924144478,2500251420
zigzag,HeapSort,100000000,8798.13,none,394436,394303,-1,4986446323,2549652340
zigzag,HeapSort,100000000,13267.9,cpu,394544,394447,-1,4986446323,2549652340
zigzag,HeapSort,100000000,19611.2,ram,31212756,29665958,-1,4986446323,2549652340
zigzag,HeapSort,100000000,39006.5,both,31323304,29914439,-1,4986446323,2549652340
endnoise,HeapSort,100000000,7407.98,none,394532,394351,-1,5128959434,2656428126
endnoise,HeapSort,100000000,10843.5,cpu,394624,394479,-1,5128959434,2656428126
endnoise,HeapSort,100000000,19156.5,ram,31284700,29838895,-1,5128959434,2656428126
endnoise,HeapSort,100000000,43476.2,both,31355956,30258751,-1,5128959434,2656428126
ordered,HeapSort,100000000,7824.2,none,394452,394271,-1,5119014040,2652454802
ordered,HeapSort,100000000,10779.7,cpu,394576,394431,-1,5119014040,2652454802
ordered,HeapSort,100000000,18853.6,ram,31250064,29379663,-1,5119014040,2652454802
