vector_type,algorithm,size,time_ms,stress,ram_kb_max,ram_kb_media,energy_j,comparisons,swaps
random,QuickSort,100000000,13427.3,cpu,394540,394471,-1,6790476312,1814376024
random,QuickSort,100000000,15468.6,ram,31210704,29090129,-1,6790476312,1814376024
random,QuickSort,100000000,29578.5,both,31215952,29609433,-1,6790476312,1814376024
random_swaps,QuickSort,100000000,6617.54,none,394484,394315,-1,8519728106,2663194894
random_swaps,QuickSort,100000000,9098.34,cpu,394580,394447,-1,8519728106,2663194894
random_swaps,QuickSort,100000000,12533.5,ram,31221812,28981972,-1,8519728106,2663194894
random_swaps,QuickSort,100000000,28988.9,both,31261612,29361477,-1,8519728106,2663194894
repeated_1_5,QuickSort,100000000,31598.9,none,394452,394307,-1,2876881632,1380141353
repeated_1_5,QuickSort,100000000,43977.2,cpu,394592,394483,-1,2876881632,1380141353
repeated_1_5,QuickSort,100000000,64899.6,ram,31323104,30802462,-1,2876881632,1380141353
repeated_1_5,QuickSort,100000000,106284,both,31390512,30821374,-1,2876881632,1380141353
repeated,QuickSort,100000000,32683.4,none,394432,394287,-1,2485933424,1368536864
repeated,QuickSort,100000000,46828.8,cpu,394572,394463,-1,2485933424,1368536864
repeated,QuickSort,100000000,59790.3,ram,31365272,30828619,-1,2485933424,1368536864
repeated,QuickSort,100000000,109449,both,31360280,30807650,-1,2485933424,1368536864
reversed,QuickSort,100000000,3708.32,none,394436,394291,-1,5023252540,1399505262
reversed,QuickSort,100000000,5261.61,cpu,394572,394463,-1,5023252540,1399505262
reversed,QuickSort,100000000,7303.43,ram,31230796,27929406,-1,5023252540,1399505262
reversed,QuickSort,100000000,10501.2,both,31226188,26447708,-1,5023252540,1399505262
zigzag,QuickSort,100000000,4811.54,none,394396,394251,-1,5871469374,1707992084
zigzag,QuickSort,100000000,6532.82,cpu,394576,394467,-1,5871469374,1707992084
zigzag,QuickSort,100000000,8491.24,ram,31239756,28405157,-1,5871469374,1707992084
zigzag,QuickSort,100000000,15432.4,both,31254092,28408438,-1,5871469374,1707992084
