vector_type,algorithm,size,time_ms,stress,ram_kb_max,ram_kb_media,energy_j,comparisons,swaps
reversed,MergeSort,100000000,8158.57,cpu,784556,426386,-1,1314447104,0
reversed,MergeSort,100000000,11692.5,ram,31222104,28788462,-1,1314447104,0
reversed,MergeSort,100000000,32934.5,both,31331316,29978134,-1,1314447104,0
zigzag,MergeSort,100000000,5299.83,none,784916,427501,-1,1973337536,0
zigzag,MergeSort,100000000,8216.85,cpu,784744,427463,-1,1973337536,0
zigzag,MergeSort,100000000,18509.5,ram,31281172,29828041,-1,1973337536,0
zigzag,MergeSort,100000000,32873.4,both,31246244,29679794,-1,1973337536,0
endnoise,MergeSort,100000000,5698.94,none,784860,426610,-1,1360623793,0
endnoise,MergeSort,100000000,8432.92,cpu,784716,427205,-1,1360623793,0
endnoise,MergeSort,100000000,20681.9,ram,31214712,29819877,-1,1360623793,0
endnoise,MergeSort,100000000,32304.9,both,31208780,29753391,-1,1360623793,0
ordered,MergeSort,100000000,5230.14,none,784656,427991,-1,1351335168,0
ordered,MergeSort,100000000,8973.08,cpu,784260,424125,-1,1351335168,0
ordered,MergeSort,100000000,14676.6,ram,31213712,29192916,-1,1351335168,0
ordered,MergeSort,100000000,36204.8,both,31356212,29573652,-1,1351335168,0
random,MergeSort,100000000,13931.8,none,784884,431648,-1,2532922684,0
random,MergeSort,100000000,18996.5,cpu,784508,430397,-1,2532922684,0
random,MergeSort,100000000,37534.3,ram,31352960,30541424,-1,2532922684,0
random,MergeSort,100000000,72039.9,both,31392596,30291138,-1,2532922684,0
random_swaps,MergeSort,100000000,6192.18,none,784924,427395,-1,2338959016,0
random_swaps,MergeSort,100000000,9252.98,cpu,784700,426636,-1,2338959016,0
random_swaps,MergeSort,100000000,23094.3,ram,31256812,29968455,-1,2338959016,0
random_swaps,MergeSort,100000000,36933,both,31261256,29860459,-1,2338959016,0
repeated_1_5,MergeSort,100000000,6813.15,none,784952,424274,-1,2317759542,0
repeated_1_5,MergeSort,100000000,9973.82,cpu,784640,423310,-1,2317759542,0
repeated_1_5,MergeSort,100000000,23839.4,ram,31196092,29861010,-1,2317759542,0
repeated_1_5,MergeSort,100000000,54310,both,31349688,30319237,-1,2317759542,0
repeated,MergeSort,100000000,5656.58,none,784828,427074,-1,1351335168,0
repeated,MergeSort,100000000,8167.5,cpu,784504,426418,-1,1351335168,0
repeated,MergeSort,100000000,18667.4,ram,31240080,29596463,-1,1351335168,0
repeated,MergeSort,100000000,43253.5,both,31364128,30169576,-1,1351335168,0
reversed,MergeSort,100000000,5195.63,none,784816,427494,-1,1314447104,0
reversed,MergeSort,100000000,8750.96,cpu,784576,425289,-1,1314447104,0
reversed,MergeSort,100000000,19808.4,ram,31292212,29587416,-1,1314447104,0
reversed,MergeSort,100000000,32421,both,31292032,29390347,-1,1314447104,0
zigzag,MergeSort,100000000,5283.44,none,784804,427703,-1,1973337536,0
zigzag,MergeSort,100000000,9442.42,cpu,784288,424064,-1,1973337536,0
zigzag,MergeSort,100000000,19990.2,ram,31355536,29917344,-1,1973337536,0
zigzag,MergeSort,100000000,38140.9,both,31242504,29925628,-1,1973337536,0
endnoise,MergeSort,100000000,5900.98,none,784812,426691,-1,1360623793,0
endnoise,MergeSort,100000000,8394.66,cpu,784548,425138,-1,1360623793,0
endnoise,MergeSort,100000000,17608.2,ram,31302648,29850838,-1,1360623793,0
endnoise,MergeSort,100000000,33438.9,both,31349416,29263368,-1,1360623793,0
ordered,MergeSort,100000000,5787.6,none,784712,426958,-1,1351335168,0
ordered,MergeSort,100000000,8854.95,cpu,784484,427406,-1,1351335168,0
